"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","stage","reference","specificity","n_donors","donors_positive","donor_support","median_donor_effect"
7.96548394729785e-11,1.25816857769392,0.457,0.225,2.67146400624475e-06,"LINC00461","identity","migrating+mature",0.232,NA,NA,NA,NA
9.24503836655923e-11,1.2157883424361,0.581,0.392,3.10060096737663e-06,"GRID2","identity","migrating+mature",0.189,NA,NA,NA,NA
9.41599941663708e-11,2.67471607736127,0.194,0.032,3.15793788435174e-06,"SOX2","identity","migrating+mature",0.162,NA,NA,NA,NA
1.7582728465638e-10,1.26870191464058,0.413,0.19,5.89689547280568e-06,"NMU","identity","migrating+mature",0.223,NA,NA,NA,NA
2.21498362695465e-10,2.21878734715648,0.261,0.076,7.4286120880805e-06,"CMBL","identity","migrating+mature",0.185,NA,NA,NA,NA
2.33666729308624e-10,0.830579700357439,0.789,0.677,7.83671476755262e-06,"ID4","identity","migrating+mature",0.112,NA,NA,NA,NA
8.99043694610261e-10,1.06668326507417,0.575,0.367,3.0152127429839e-05,"POU3F2","identity","migrating+mature",0.208,NA,NA,NA,NA
9.34435614045525e-10,1.45898566684105,0.367,0.165,3.13391016238588e-05,"LHFPL6","identity","migrating+mature",0.202,NA,NA,NA,NA
9.35056082115135e-10,2.91490099624942,0.15,0.016,3.13599108819774e-05,"FAT4","identity","migrating+mature",0.134,NA,NA,NA,NA
1.20517286745526e-09,2.03918519362654,0.202,0.044,4.04190876287144e-05,"CPNE2","identity","migrating+mature",0.158,NA,NA,NA,NA
1.71005541178241e-09,0.701574608433374,0.686,0.475,5.73518384003584e-05,"COTL1","identity","migrating+mature",0.211,NA,NA,NA,NA
3.71268817969824e-09,0.994388125950073,0.569,0.37,0.00012451613617072,"LY6H","identity","migrating+mature",0.199,NA,NA,NA,NA
7.89585674313986e-09,0.609543891933007,0.792,0.677,0.000264811243451425,"PPP1R1A","identity","migrating+mature",0.115,NA,NA,NA,NA
1.65447293346458e-08,1.07033792452673,0.431,0.225,0.000554877132425352,"EFNB2","identity","migrating+mature",0.206,NA,NA,NA,NA
3.00104906228605e-08,3.3065165059326,0.123,0.013,0.0010064918345095,"GABRB2","identity","migrating+mature",0.11,NA,NA,NA,NA
4.74862831014957e-08,0.725997361031705,0.754,0.642,0.00159259496265796,"ETFB","identity","migrating+mature",0.112,NA,NA,NA,NA
6.51202758406626e-08,1.38372854948905,0.334,0.158,0.00218400381114414,"RGS2","identity","migrating+mature",0.176,NA,NA,NA,NA
7.72164387822604e-08,2.21700246888549,0.199,0.06,0.00258968492387945,"SHC3","identity","migrating+mature",0.139,NA,NA,NA,NA
