gene	avg_log2FC	p_val_adj	method_support	pct.1	pct.2	specificity	pct1	pct2	spec	coexpr	coexpr_flag	score
Klhdc8b	1.31279577931615	0.00194133324025839	1	0.362068965517241	0.1935	0.168568965517241	0.362068965517241	0.1935	0.168568965517241	0.235788912587411	TRUE	0.0217630261853551
F11r	1.70574297347814	1.94641390928845e-09	1	0.14367816091954	0.0285	0.11517816091954	0.14367816091954	0.0285	0.11517816091954	0.419571500002662	TRUE	0.0216576111725836
Hsp90b1	0.682493495338306	0.00343587066494964	1	0.85632183908046	0.6595	0.19682183908046	0.85632183908046	0.6595	0.19682183908046	0.249158742015639	TRUE	0.0214680156233185
2410006H16Rik	0.74619464957978	0.00610908013657722	1	0.505747126436782	0.3035	0.202247126436782	0.505747126436782	0.3035	0.202247126436782	0.287349246783869	TRUE	0.0213765062715898
Sdccag8	1.39045606861998	0.00160229437770721	1	0.298850574712644	0.145	0.153850574712644	0.298850574712644	0.145	0.153850574712644	0.260723896662625	TRUE	0.021134391190623
Tmem158	1.28172618715044	6.98948453524853e-16	1	0.620689655172414	0.2885	0.332189655172414	0.620689655172414	0.2885	0.332189655172414	0.0907839076593573	TRUE	0.0211082849553163
Mrln	3.84837704436096	2.95254247343624e-15	1	0.0862068965517241	0.006	0.0802068965517241	0.0862068965517241	0.006	0.0802068965517241	0.335223303216779	TRUE	0.0210581393637822
Atp6v1b2	0.869484174652723	1.88089194735409e-07	1	0.729885057471264	0.502	0.227885057471264	0.729885057471264	0.502	0.227885057471264	0.179454588893924	TRUE	0.0210564327103875
Gem	1.79492683279372	0.0127841987439893	1	0.155172413793103	0.0565	0.0986724137931035	0.155172413793103	0.0565	0.0986724137931035	0.435415263248024	TRUE	0.0210561453682393
Cisd3	1.20666280564764	0.000151536478019064	1	0.385057471264368	0.1975	0.187557471264368	0.385057471264368	0.1975	0.187557471264368	0.216085925037583	TRUE	0.0210346365697461
Eif4e3	1.87926922065244	1.34703032922644e-09	1	0.235632183908046	0.0695	0.166132183908046	0.235632183908046	0.0695	0.166132183908046	0.198290935218139	TRUE	0.0208299583372963
Rd3	3.56197708165363	3.81926504125056e-17	1	0.0862068965517241	0.005	0.0812068965517241	0.0862068965517241	0.005	0.0812068965517241	0.353089650284009	TRUE	0.0207857399043508
Mcub	2.07786844469396	1.81728251831336e-05	1	0.14367816091954	0.039	0.10467816091954	0.14367816091954	0.039	0.10467816091954	0.35827362770976	TRUE	0.0204743354364953
Scg5	0.655136822751384	4.73587203182948e-05	1	0.816091954022989	0.6275	0.188591954022989	0.816091954022989	0.6275	0.188591954022989	0.26390179493067	TRUE	0.0204170279661349
Meis1	1.92054655183886	0.000116845752066271	1	0.14367816091954	0.041	0.10267816091954	0.14367816091954	0.041	0.10267816091954	0.392205178072457	TRUE	0.0203206260658916
Uaca	2.22242941669816	1.55430880138216e-12	1	0.14367816091954	0.0235	0.12017816091954	0.14367816091954	0.0235	0.12017816091954	0.288640380069121	TRUE	0.0202549632513454
Tceal9	0.928904765701886	2.00139917077288e-07	1	0.666666666666667	0.44	0.226666666666667	0.666666666666667	0.44	0.226666666666667	0.167114071647326	TRUE	0.0199136881250408
Chrnb4	5.82068659508546	1.04331720201436e-19	1	0.0632183908045977	0.001	0.0622183908045977	0.0632183908045977	0.001	0.0622183908045977	0.313997952429213	TRUE	0.0198183268241892
Spint2	0.95518559598397	1.81254405285581e-06	1	0.528735632183908	0.2945	0.234235632183908	0.528735632183908	0.2945	0.234235632183908	0.17504945254748	TRUE	0.019739958410663
Cox17	0.777412429035385	2.09832099714017e-06	1	0.729885057471264	0.489	0.240885057471264	0.729885057471264	0.489	0.240885057471264	0.176044886133732	TRUE	0.019522590817008
Gap43	1.11509340645002	1.25159065258802e-16	1	0.844827586206897	0.573	0.271827586206897	0.844827586206897	0.573	0.271827586206897	0.100558522506782	TRUE	0.0194192818219381
Srp14	0.7008987313533	0.00154992903195552	1	0.798850574712644	0.6155	0.183350574712644	0.798850574712644	0.6155	0.183350574712644	0.240203052988555	TRUE	0.0191238051257175
Cldn9	5.1206427941382	3.9325174391313e-20	1	0.0689655172413793	0.0015	0.0674655172413793	0.0689655172413793	0.0015	0.0674655172413793	0.303951659065346	TRUE	0.0191140322257275
Mrps15	1.06242846443314	1.09473905797247e-05	1	0.482758620689655	0.255	0.227758620689655	0.482758620689655	0.255	0.227758620689655	0.159659584864408	TRUE	0.0186062990738192
Fgd2	1.78678190682069	1.79128182247856e-18	1	0.132183908045977	0.0135	0.118683908045977	0.132183908045977	0.0135	0.118683908045977	0.347126791182311	TRUE	0.0185509550523509
Ccdc68	3.69568546868556	7.52777352087677e-20	1	0.0804597701149425	0.003	0.0774597701149425	0.0804597701149425	0.003	0.0774597701149425	0.326925701610267	TRUE	0.0184007330685273
Ndufv3	0.74713560902924	0.00580512916312571	1	0.718390804597701	0.515	0.203390804597701	0.718390804597701	0.515	0.203390804597701	0.203742643655721	TRUE	0.0181894065728152
Hint2	0.85494570530324	4.19637898168877e-05	1	0.5	0.2765	0.2235	0.5	0.2765	0.2235	0.193397781852427	TRUE	0.018112483982457
Tmem255a	1.10519920568294	0.000383691808119362	1	0.459770114942529	0.2605	0.199270114942529	0.459770114942529	0.2605	0.199270114942529	0.174858316848936	TRUE	0.018099428394993
Chp1	0.77946558336826	0.000635425638829423	1	0.436781609195402	0.24	0.196781609195402	0.436781609195402	0.24	0.196781609195402	0.253837198098483	TRUE	0.0178358721297514
Sema3c	1.27161137278634	1.48337789905929e-05	1	0.195402298850575	0.063	0.132402298850575	0.195402298850575	0.063	0.132402298850575	0.34336412199553	TRUE	0.0177131230010103
Rogdi	0.83765216767571	6.61450089331841e-05	1	0.580459770114943	0.366	0.214459770114943	0.580459770114943	0.366	0.214459770114943	0.184906277980204	TRUE	0.0175417425685614
Eya2	4.05226159036646	1.36217986649059e-12	1	0.0919540229885057	0.009	0.0829540229885058	0.0919540229885057	0.009	0.0829540229885058	0.247109621117462	TRUE	0.0174596449886697
Tmem130	0.920525225864325	4.66014169159064e-10	1	0.78735632183908	0.505	0.28235632183908	0.78735632183908	0.505	0.28235632183908	0.107773782935593	TRUE	0.0172288963318441
Hspa5	0.754987251724411	0.0165798656694054	1	0.810344827586207	0.635	0.175344827586207	0.810344827586207	0.635	0.175344827586207	0.206756082892097	TRUE	0.0170785606624593
Gadd45g	0.854480225510676	0.0382985885675205	1	0.459770114942529	0.273	0.186770114942529	0.459770114942529	0.273	0.186770114942529	0.226613032896857	TRUE	0.0169976982963895
Srp9	0.823794660990536	0.0234700226045912	1	0.64367816091954	0.439	0.20467816091954	0.64367816091954	0.439	0.20467816091954	0.18082276738885	TRUE	0.0169552203747968
Ndn	0.72567670503418	2.29145957807244e-10	1	0.827586206896552	0.5765	0.251086206896552	0.827586206896552	0.5765	0.251086206896552	0.147314575436976	TRUE	0.0169255908927469
Ikzf3	4.64667246591265	7.86191178771862e-17	1	0.0689655172413793	0.0025	0.0664655172413793	0.0689655172413793	0.0025	0.0664655172413793	0.299206668354409	TRUE	0.0168209754952668
